Neighborhood,Id,MSSubClass,MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,MoSold,SaleType,SaleCondition,FixedLotFrontage,FixedLotArea,FixedMasVnrArea,FixedTotalBsmtSF,Fixed1stFlrSF,Fixed2ndFlrSF,FixedLowQualFinSF,FixedGrLivArea,FixedBsmtFullBath,FixedBsmtHalfBath,FixedFullBath,FixedHalfBath,FixedBedroomAbvGr,FixedKitchenAbvGr,FixedTotRmsAbvGrd,FixedFireplaces,FixedGarageYrBlt,FixedGarageCars,FixedGarageArea,FixedWoodDeckSF,FixedOpenPorchSF,FixedEnclosedPorch,Fixed3SsnPorch,FixedScreenPorch,FixedPoolArea,FixedMiscVal,FixedYrSold,FixedSalePrice,YearsSinceBuilt,YearsSinceRemodel,SafetyScore,BicycleFriendlyScore,WalkabilityScore,SchoolingScore,HouseholdIncomeScore,DesirabilityScore
Sawyer,11,20,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,GasA,Ex,Y,null,TA,Typ,NA,Detchd,Unf,TA,TA,Y,NA,NA,NA,2,WD,Normal,70,11200,0,1040,1040,0,0,1040,1,0,1,0,3,1,5,0,1965,1,384,0,0,0,0,0,0,0,2008,129500,43,43,3,2,1,2,2,1
NridgHt,12,60,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,9,5,Hip,CompShg,WdShing,Wd Shng,Stone,Ex,TA,PConc,Ex,TA,No,GasA,Ex,Y,null,Ex,Typ,Gd,BuiltIn,Fin,TA,TA,Y,NA,NA,NA,7,New,Partial,85,11924,286,1175,1182,1142,0,2324,1,0,3,0,4,1,11,2,2005,3,736,147,21,0,0,0,0,0,2006,345000,1,0,3,3,1,5,3,3
Sawyer,13,20,RL,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,HdBoard,Plywood,None,TA,TA,CBlock,TA,TA,No,GasA,TA,Y,null,TA,Typ,NA,Detchd,Unf,TA,TA,Y,NA,NA,NA,9,WD,Normal,69,12968,0,912,912,0,0,912,1,0,1,0,2,1,4,0,1962,1,352,140,0,0,0,176,0,0,2008,144000,46,46,3,2,1,2,2,1
CollgCr,14,20,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Av,GasA,Ex,Y,null,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,NA,NA,NA,8,New,Partial,91,10652,306,1494,1494,0,0,1494,0,0,2,0,3,1,7,1,2006,3,840,160,33,0,0,0,0,0,2007,279500,1,0,3,1,1,3,2,3
NAmes,15,20,RL,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1Story,6,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,GasA,TA,Y,null,TA,Typ,Fa,Attchd,RFn,TA,TA,Y,NA,GdWo,NA,5,WD,Normal,69,10920,212,1253,1253,0,0,1253,1,0,1,1,2,1,5,1,1960,1,352,0,213,176,0,0,0,0,2008,157000,48,48,3,2,1,4,2,2
BrkSide,16,45,RM,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1.5Unf,7,8,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,TA,No,GasA,Ex,Y,null,TA,Typ,NA,Detchd,Unf,TA,TA,Y,NA,GdPrv,NA,7,WD,Normal,51,6120,0,832,854,0,0,854,0,0,1,0,2,1,5,0,1991,2,576,48,112,0,0,0,0,0,2007,132000,78,6,3,4,2,4,3,2
NAmes,17,20,RL,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,GasA,Ex,Y,null,TA,Typ,TA,Attchd,Fin,TA,TA,Y,NA,NA,Shed,3,WD,Normal,69,11241,180,1004,1004,0,0,1004,1,0,1,0,2,1,5,1,1970,2,480,0,0,0,0,0,0,700,2010,149000,40,40,3,2,1,4,2,2
Sawyer,18,90,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,Slab,NA,NA,NA,GasA,TA,Y,null,TA,Typ,NA,CarPort,Unf,TA,TA,Y,NA,NA,Shed,10,WD,Normal,72,10791,0,0,1296,0,0,1296,0,0,2,0,2,2,6,0,1967,2,516,0,0,0,0,0,0,500,2006,90000,39,39,3,2,1,2,2,1
SawyerW,19,20,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,RRAe,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,TA,TA,No,GasA,Ex,Y,null,Gd,Typ,NA,Detchd,Unf,TA,TA,Y,NA,NA,NA,6,WD,Normal,66,13695,0,1114,1114,0,0,1114,1,0,1,1,3,1,6,0,2004,2,576,0,102,0,0,0,0,0,2008,159000,4,4,3,1,1,2,2,3
NAmes,20,20,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,BrkFace,Plywood,None,TA,TA,CBlock,TA,TA,No,GasA,TA,Y,null,TA,Min1,NA,Attchd,Unf,TA,TA,Y,NA,MnPrv,NA,5,COD,Abnorml,70,7560,0,1029,1339,0,0,1339,0,0,1,0,3,1,6,0,1958,1,294,0,0,0,0,0,0,0,2009,139000,51,44,3,2,1,4,2,2
NridgHt,21,60,RL,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,Av,GasA,Ex,Y,null,Gd,Typ,Gd,BuiltIn,RFn,TA,TA,Y,NA,NA,NA,11,New,Partial,101,14215,380,1158,1158,1218,0,2376,0,0,3,1,4,1,9,1,2005,3,853,240,154,0,0,0,0,0,2006,325300,1,0,3,3,1,5,3,3
IDOTRR,22,45,RM,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,Norm,Norm,1Fam,1.5Unf,7,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,TA,No,GasA,Ex,Y,null,Gd,Typ,Gd,Attchd,Unf,TA,TA,N,NA,GdPrv,NA,6,WD,Normal,57,7449,0,637,1108,0,0,1108,0,0,1,0,3,1,6,1,1930,1,280,0,0,205,0,0,0,0,2007,139400,77,57,1,2,2,4,1,1
CollgCr,23,20,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GasA,Ex,Y,null,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,NA,NA,NA,9,WD,Normal,75,9742,281,1777,1795,0,0,1795,0,0,2,0,3,1,7,1,2002,2,534,171,159,0,0,0,0,0,2008,230000,6,6,3,1,1,3,2,3
MeadowV,24,120,RM,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,1Story,5,7,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,PConc,Gd,TA,No,GasA,TA,Y,null,TA,Typ,TA,Attchd,Unf,TA,TA,Y,NA,NA,NA,6,WD,Normal,44,4224,0,1040,1060,0,0,1060,1,0,1,0,3,1,6,1,1976,2,572,100,110,0,0,0,0,0,2007,129900,31,31,3,2,1,4,2,2
Sawyer,25,20,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,8,Gable,CompShg,Plywood,Plywood,None,TA,Gd,CBlock,TA,TA,Mn,GasA,Ex,Y,null,Gd,Typ,TA,Attchd,Unf,TA,TA,Y,NA,MnPrv,NA,5,WD,Normal,69,8246,0,1060,1060,0,0,1060,1,0,1,0,3,1,6,1,1968,1,270,406,90,0,0,0,0,0,2010,154000,42,9,3,2,1,2,2,1
NridgHt,26,20,RL,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,GasA,Ex,Y,null,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,NA,NA,NA,7,WD,Normal,110,14230,640,1566,1600,0,0,1600,0,0,2,0,3,1,7,1,2007,3,890,0,56,0,0,0,0,0,2009,256300,2,2,3,3,1,5,3,3
NAmes,27,20,RL,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,Mn,GasA,TA,Y,null,Gd,Typ,NA,Detchd,Unf,TA,TA,Y,NA,NA,NA,5,WD,Normal,60,7200,0,900,900,0,0,900,0,1,1,0,3,1,5,0,2005,2,576,222,32,0,0,0,0,0,2010,134800,59,10,3,2,1,4,2,2
NridgHt,28,20,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,No,GasA,Ex,Y,null,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,NA,NA,NA,5,WD,Normal,98,11478,200,1704,1704,0,0,1704,1,0,2,0,3,1,7,1,2008,3,772,0,50,0,0,0,0,0,2010,306000,3,2,3,3,1,5,3,3
NAmes,29,20,RL,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,TA,TA,Gd,GasA,TA,Y,null,TA,Typ,Gd,Attchd,RFn,TA,TA,Y,NA,NA,NA,12,WD,Normal,47,16321,0,1484,1600,0,0,1600,1,0,1,0,2,1,6,2,1957,1,319,288,258,0,0,0,0,0,2006,207500,49,9,3,2,1,4,2,2
BrkSide,30,30,RM,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Feedr,RRNn,1Fam,1Story,4,6,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,GasA,Fa,N,null,Fa,Typ,NA,Detchd,Unf,Fa,TA,Y,NA,NA,NA,5,WD,Normal,60,6324,0,520,520,0,0,520,0,0,1,0,1,1,4,0,1920,1,240,49,0,87,0,0,0,0,2008,68500,81,58,3,4,2,4,3,2
IDOTRR,31,70,C (all),Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Feedr,Norm,1Fam,2Story,4,4,Gambrel,CompShg,BrkFace,BrkFace,None,TA,Fa,BrkTil,TA,TA,No,GasA,TA,N,null,TA,Typ,NA,Detchd,Unf,TA,Fa,N,NA,MnPrv,NA,7,WD,Normal,50,8500,0,649,649,668,0,1317,0,0,1,0,3,1,6,0,1920,1,250,0,54,172,0,0,0,0,2008,40000,88,58,1,2,2,4,1,1
Sawyer,32,20,RL,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,GasA,Gd,Y,null,Gd,Typ,NA,Attchd,Unf,TA,TA,Y,NA,MnPrv,NA,6,WD,Normal,69,8544,0,1228,1228,0,0,1228,0,0,1,1,3,1,6,0,1966,1,271,0,65,0,0,0,0,0,2008,149350,42,2,3,2,1,2,2,1
CollgCr,33,20,RL,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,TA,Av,GasA,Ex,Y,null,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,NA,NA,NA,1,WD,Normal,85,11049,0,1234,1234,0,0,1234,0,0,2,0,3,1,7,0,2007,2,484,0,30,0,0,0,0,0,2008,179900,1,1,3,1,1,3,2,3
NAmes,34,20,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,BrkFace,BrkFace,None,TA,TA,CBlock,TA,TA,No,GasA,Gd,Y,null,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,NA,NA,NA,4,WD,Normal,70,10552,0,1398,1700,0,0,1700,0,1,1,1,4,1,6,1,1959,2,447,0,38,0,0,0,0,0,2010,165500,51,51,3,2,1,4,2,2
NridgHt,35,120,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GasA,Ex,Y,null,Ex,Typ,Gd,Attchd,Fin,TA,TA,Y,NA,NA,NA,8,WD,Normal,60,7313,246,1561,1561,0,0,1561,1,0,2,0,2,1,6,1,2005,2,556,203,47,0,0,0,0,0,2007,277500,2,2,3,3,1,5,3,3
NridgHt,36,60,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,GasA,Ex,Y,null,Gd,Typ,Gd,BuiltIn,Fin,TA,TA,Y,NA,NA,NA,9,WD,Normal,108,13418,132,1117,1132,1320,0,2452,0,0,3,1,4,1,9,1,2004,3,691,113,32,0,0,0,0,0,2006,309000,2,1,3,3,1,5,3,3
CollgCr,37,20,RL,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,GasA,Ex,Y,null,TA,Typ,NA,Attchd,Unf,TA,TA,Y,NA,NA,NA,6,WD,Normal,112,10859,0,1097,1097,0,0,1097,0,0,1,1,3,1,6,0,1995,2,672,392,64,0,0,0,0,0,2009,145000,15,14,3,1,1,3,2,3
NAmes,38,20,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,GasA,Gd,Y,null,TA,Typ,TA,Attchd,Fin,TA,TA,Y,NA,NA,NA,10,WD,Normal,74,8532,650,1297,1297,0,0,1297,0,1,1,0,3,1,5,1,1954,2,498,0,0,0,0,0,0,0,2009,153000,55,19,3,2,1,4,2,2
NAmes,39,20,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,No,GasA,TA,Y,null,Gd,Typ,NA,Detchd,Unf,TA,TA,Y,NA,NA,NA,1,WD,Abnorml,68,7922,0,1057,1057,0,0,1057,1,0,1,0,3,1,5,0,1953,1,246,0,52,0,0,0,0,0,2010,109000,57,3,3,2,1,4,2,2
Edwards,40,90,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,AsbShng,Plywood,None,TA,TA,PConc,NA,NA,NA,GasA,TA,N,null,Fa,Typ,NA,NA,NA,NA,NA,N,NA,NA,NA,6,WD,AdjLand,65,6040,0,0,1152,0,0,1152,0,0,2,0,2,2,6,0,1980,0,0,0,0,0,0,0,0,0,2008,82000,53,53,2,2,2,3,2,1
NAmes,41,20,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,GasA,Ex,Y,null,TA,Typ,TA,Attchd,RFn,TA,TA,Y,NA,GdWo,NA,12,WD,Abnorml,84,8658,101,1088,1324,0,0,1324,0,0,2,0,3,1,6,1,1965,2,440,0,138,0,0,0,0,0,2006,160000,41,41,3,2,1,4,2,2
Timber,42,20,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,Gd,GasA,Gd,Y,null,TA,Typ,Gd,Attchd,RFn,TA,TA,P,NA,NA,NA,7,WD,Normal,115,16905,0,1350,1328,0,0,1328,0,1,1,1,2,1,5,2,1959,1,308,0,104,0,0,0,0,0,2007,170000,48,48,3,2,1,4,3,3
SawyerW,43,85,RL,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,SFoyer,5,7,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,Gd,TA,Av,GasA,Gd,Y,null,Gd,Typ,NA,Attchd,RFn,TA,Gd,Y,NA,MnPrv,NA,12,WD,Normal,69,9180,0,840,884,0,0,884,1,0,1,0,2,1,5,0,1983,2,504,240,0,0,0,0,0,0,2007,144000,24,24,3,1,1,2,2,3
CollgCr,44,20,RL,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,Gd,TA,Av,GasA,TA,Y,null,TA,Typ,NA,Detchd,Unf,TA,TA,Y,NA,MnPrv,NA,7,WD,Normal,69,9200,0,938,938,0,0,938,1,0,1,0,3,1,5,0,1977,1,308,145,0,0,0,0,0,0,2008,130250,33,28,3,1,1,3,2,3
NAmes,45,20,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,BrkFace,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,GasA,Ex,Y,null,TA,Typ,NA,Attchd,RFn,TA,TA,Y,NA,NA,NA,5,WD,Normal,70,7945,0,1150,1150,0,0,1150,1,0,1,0,3,1,6,0,1959,1,300,0,0,0,0,0,0,0,2006,141000,47,47,3,2,1,4,2,2
NridgHt,46,120,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GasA,Ex,Y,null,Ex,Typ,Gd,Attchd,RFn,TA,TA,Y,NA,NA,NA,2,WD,Normal,61,7658,412,1752,1752,0,0,1752,1,0,2,0,2,1,6,1,2005,2,576,196,82,0,0,0,0,0,2010,319900,5,5,3,3,1,5,3,3
Mitchel,47,50,RL,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,TA,No,GasA,Ex,Y,null,Gd,Typ,Ex,Attchd,RFn,TA,TA,Y,NA,NA,NA,8,WD,Abnorml,48,12822,0,1434,1518,631,0,2149,1,0,1,1,1,1,6,1,2003,2,670,168,43,0,0,198,0,0,2009,239686,6,6,3,2,1,4,2,2
Somerst,48,20,FV,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GasA,Ex,Y,null,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,NA,NA,NA,7,WD,Normal,84,11096,0,1656,1656,0,0,1656,0,0,2,0,3,1,7,0,2006,3,826,0,146,0,0,0,0,0,2007,249700,1,1,2,2,1,5,3,3
OldTown,49,190,RM,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,2fmCon,2Story,4,5,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,GasA,Gd,Y,null,TA,Typ,NA,NA,NA,NA,NA,N,NA,NA,NA,6,New,Partial,33,4456,0,736,736,716,0,1452,0,0,2,0,2,3,8,0,1980,0,0,0,0,102,0,0,0,0,2009,113000,89,1,1,4,2,4,2,1
Sawyer,50,20,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,GasA,Ex,Y,null,TA,Typ,NA,Attchd,Unf,TA,TA,Y,NA,MnPrv,NA,1,WD,Normal,66,7742,0,955,955,0,0,955,1,0,1,0,3,1,6,0,1966,1,386,0,0,0,0,0,0,0,2007,127000,41,41,3,2,1,2,2,1
Gilbert,51,60,RL,Pave,NA,IR2,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,2Story,6,6,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,Av,GasA,Gd,Y,null,TA,Typ,NA,Attchd,Fin,TA,TA,Y,NA,NA,NA,7,WD,Normal,69,13869,0,794,794,676,0,1470,0,1,2,0,3,1,6,0,1997,2,388,0,75,0,0,0,0,0,2007,177000,10,10,3,3,1,4,3,3
